Portfolio,Open,High,Low,Close,Adj Close,Volume
Bitcoin,8925059570,9001639648,8779610352,8802459961,8802459961,6629899776
Bitcoin,8794389648,8958549805,8788809570,8930879883,8930879883,6925190144
Bitcoin,8934339844,9732610352,8927830078,9697500000,9697500000,10678800384
Bitcoin,9701030273,9745320313,8799839844,8845740234,8845740234,11083100160
Bitcoin,8867320313,9281509766,8727089844,9281509766,9281509766,8970559488
Bitcoin,9346410156,9531490234,9193709961,9419080078,9419080078,8853000192
Bitcoin,9426110352,9477139648,9166809570,9240549805,9240549805,8673920000
Bitcoin,9251469727,9255879883,8891049805,9119009766,9119009766,7713019904
Bitcoin,9104599609,9256519531,9015139648,9235919922,9235919922,7558159872
Bitcoin,9233969727,9798330078,9188150391,9743860352,9743860352,10207299584
Bitcoin,9845309570,9940139648,9465250000,9654799805,9654799805,7222280192
Bitcoin,9645669922,9665849609,9231530273,9373009766,9373009766,7394019840
Bitcoin,9380870117,9462750000,9127769531,9234820313,9234820313,7415869952
Bitcoin,9223730469,9374759766,9031620117,9325179688,9325179688,7226890240
Bitcoin,9325959961,9396040039,9040519531,9043940430,9043940430,6906699776
Bitcoin,8515490234,8773549805,8395120117,8723940430,8723940430,5866379776
Bitcoin,8713099609,8881120117,8367969727,8716790039,8716790039,7364149760
Bitcoin,8705190430,8836190430,8456450195,8510379883,8510379883,6705710080
Bitcoin,8504410156,8508429688,8175490234,8368830078,8368830078,6760220160
Bitcoin,8370049805,8445540039,8054120117,8094319824,8094319824,5862530048
Bitcoin,8246990234,8562410156,8205240234,8513250000,8513250000,5191059968
Bitcoin,8522330078,8557519531,8365120117,8418990234,8418990234,5154990080
Bitcoin,8419870117,8423250000,8004580078,8041779785,8041779785,5137010176
Bitcoin,8037080078,8054660156,7507879883,7557819824,7557819824,6491120128
Bitcoin,7561120117,7738600098,7331140137,7587339844,7587339844,6049220096
Bitcoin,7371310059,7419049805,7100890137,7135990234,7135990234,5040600064
Bitcoin,7129459961,7526419922,7090680176,7472589844,7472589844,5662660096
Bitcoin,7469729980,7573770020,7313600098,7406520020,7406520020,4922540032
Bitcoin,7406149902,7608899902,7361129883,7494169922,7494169922,5127130112
Bitcoin,7632089844,7754890137,7613040039,7720250000,7720250000,4851760128
Bitcoin,7722529785,7753819824,7474040039,7514470215,7514470215,4993169920
Bitcoin,7500899902,7643229980,7397000000,7633759766,7633759766,4961739776
Bitcoin,7625970215,7680430176,7502009766,7653979980,7653979980,4692259840
Bitcoin,7650819824,7741270020,7650819824,7678240234,7678240234,4485799936
Bitcoin,7499549805,7499549805,6709069824,6786020020,6786020020,5804839936
Bitcoin,6799290039,6910180176,6706629883,6906919922,6906919922,4745269760
Bitcoin,6905819824,6907959961,6542080078,6582359863,6582359863,4654380032
Bitcoin,6596879883,6631660156,6285629883,6349899902,6349899902,5052349952
Bitcoin,6342750000,6707140137,6334459961,6675350098,6675350098,5138710016
Bitcoin,6545529785,6589109863,6499270020,6499270020,6499270020,3104019968
Bitcoin,6510069824,6781140137,6446680176,6734819824,6734819824,4039200000
Bitcoin,6742390137,6822500000,6709919922,6769939941,6769939941,4057029888
